Card Name,Card Code,Days Since Print,Rarity,Price,Availability
Anti-Spell Fragrance,TAMA-EN056,705,Rare,0.39,Out of Stock
Destiny HERO - Destroyer Phoenix Enforcer,POTE-EN100,236,Starlight Rare,188.29,Out of Stock
Ogdoadic Daybreak,AGOV-EN063,586,Common,0.29,Out of Stock
Danger! Nessie!,SDCK-EN022,19,Common,0.29,Out of Stock
Baby Tiragon,NUMH-EN051,4674,Super Rare,0.49,Out of Stock
Mistake,SHSP-EN076,1993,Secret Rare,3.59,Out of Stock
Kaiser Sea Horse,YSKR-EN016,1297,Common,0.39,Out of Stock
Ghostrick Specter,SHSP-EN017,1454,Common,0.29,Out of Stock
Magic Planter,VASM-EN028,68,Rare,0.39,Out of Stock
Battlin' Boxer Rabbit Puncher,SHSP-EN007,992,Common,0.39,Out of Stock
King's Sarcophagus,AGOV-EN058,96,Quarter Century Secret Rare,51.09,Out of Stock
Full Armored Dark Knight Lancer,AGOV-EN041,586,Ultra Rare,1.79,Out of Stock
Dark Paladin,DPYG-EN016,320,Ultra Rare,8.69,Out of Stock
Chronomaly Winged Sphinx,LVAL-EN009,4261,Common,0.29,Out of Stock
Favorite Contact,POTE-EN069,586,Ultra Rare,9.99,Out of Stock
Chronomaly Mud Golem,NUMH-EN003,4674,Super Rare,0.49,Out of Stock
Divine Dragon Knight Felgrand,SHSP-EN056,4261,Ghost Rare,35.69,Out of Stock
"Alsei, the Sylvan High Protector",LVAL-EN052,1146,Ultra Rare,1.59,Out of Stock
Sylvan Bladefender,LVAL-EN000,4261,Super Rare,0.49,Out of Stock
Mementotlan Tatsunootoshigo,VASM-EN003,236,Super Rare,0.99,Out of Stock
Bujingi Crow,SHSP-EN023,4261,Rare,0.39,Out of Stock
Infinite Impermanence,SDCS-EN036,19,Super Rare,2.49,Out of Stock
Sakuretsu Armor,YSKR-EN043,502,Common,0.69,Out of Stock
Kuriboh,YSYR-EN008,1104,Common,0.39,Out of Stock
Galaxy Worm,COTD-EN094,2105,Common,0.29,Out of Stock
Gimmick Puppet Twilight Joker,NUMH-EN007,4674,Super Rare,0.49,Out of Stock
Chaos Necromancer,YSKR-EN017,1104,Common,0.29,Out of Stock
Switch Point,AGOV-EN099,922,Super Rare,0.49,Out of Stock
Gogogo Golem,NUMH-EN017,383,Super Rare,0.49,Out of Stock
Shadow Spell,YSKR-EN044,502,Common,0.29,Out of Stock
Vernusylph and the Changing Season,POTE-EN074,1363,Common,0.29,Out of Stock
Creation Resonator,SDCK-EN005,950,Common,0.29,Out of Stock
Canopic Protector,AGOV-EN076,586,Super Rare,0.49,Out of Stock
Gorgonic Cerberus,LVAL-EN014,4261,Common,0.29,Out of Stock
Vampire Sorcerer,SHSP-EN029,1125,Ultra Rare,0.79,Out of Stock
Vampire Hunter,SHSP-EN034,1125,Super Rare,1.19,Out of Stock
Mira the Star-Bearer,SHSP-EN091,4555,Common,0.29,Out of Stock
Cyber Phoenix,SDCR-EN008,383,Common,0.29,Out of Stock
Dragon Shield,SHSP-EN061,4555,Common,0.29,Out of Stock
Red-Eyes Slash Dragon,LEDU-EN003,236,Ultra Rare,7.29,Out of Stock
Ghostrick Mummy,LVAL-EN025,1454,Common,0.29,Out of Stock
Double Dust Tornado Twins,POTE-EN080,586,Common,0.29,Out of Stock
Vaylantz Mad Marquess,TAMA-EN007,1342,Rare,0.39,Out of Stock
Wonder Balloons,LEDU-EN049,3155,Common,0.29,Out of Stock
Sylvan Komushroomo,LVAL-EN016,4261,Rare,0.59,Out of Stock
"Duamutef, Blessing of Horus",AGOV-EN012,96,Quarter Century Secret Rare,11.99,Out of Stock
Return of the Monarchs,SHSP-EN067,3743,Ultra Rare,11.69,Out of Stock
Vaylantz Buster Baron,TAMA-EN005,1342,Super Rare,0.49,Out of Stock
Armoroid,LEDU-EN034,3155,Common,0.29,Out of Stock
"Malice, Lady of Lament",TAMA-EN051,1342,Rare,0.39,Out of Stock
Sylvan Guardioak,LVAL-EN019,4261,Common,0.29,Out of Stock
Monster Reborn,DPYG-EN019,19,Rare,0.49,Out of Stock
Ghostrick Lantern,SHSP-EN016,1454,Super Rare,0.69,Out of Stock
Supply Squad,VASM-EN014,824,Rare,0.39,Out of Stock
Realm Elegy,AGOV-EN052,922,Super Rare,0.49,Out of Stock
Swords of Revealing Light,YSYR-EN026,19,Common,0.39,Out of Stock
Photon Cerberus,NUMH-EN022,4674,Super Rare,0.49,Out of Stock
Stained Glass of Light & Dark,VASM-EN045,894,Rare,0.39,Out of Stock
Cyberse Wizard,COTD-EN001,2952,Super Rare,0.49,Out of Stock
Battlin' Boxer Rib Gardna,SHSP-EN006,4261,Common,0.49,Out of Stock
Hidden Temples of Necrovalley,LVAL-EN066,1993,Rare,0.39,Out of Stock
Ultimate Slayer,POTE-EN067,68,Secret Rare,4.29,Out of Stock
Deep-Space Cruiser IX,LVAL-EN010,4478,Common,0.29,Out of Stock
Bujingi Raven,SHSP-EN081,4261,Rare,0.39,Out of Stock
Vampire Sorcerer,SHSP-EN029,1125,Ultra Rare,0.49,Out of Stock
Rikka Konkon,POTE-EN066,964,Super Rare,0.49,Out of Stock
Castle Link,COTD-EN065,3190,Ultra Rare,0.49,Out of Stock
Mage Power,YSYR-EN029,538,Common,0.59,Out of Stock
Odd-Eyes Arcray Dragon,AGOV-EN030,19,Ultra Rare,2.29,Out of Stock
Swarm of Crows,SHSP-EN042,4555,Rare,0.39,Out of Stock
Re: EX,COTD-EN034,2798,Rare,0.39,Out of Stock
Book of Moon,YSYR-EN030,173,Common,0.49,Out of Stock
Terrors of the Overroot,POTE-EN078,805,Common,0.29,Out of Stock
Mementotlan Mace,VASM-EN006,894,Super Rare,0.69,Out of Stock
Kagetokage,NUMH-EN018,3191,Super Rare,0.69,Out of Stock
Witch of the Black Forest,SDCK-EN024,502,Common,0.29,Out of Stock
Sylvan Komushroomo,LVAL-EN016,4261,Rare,0.59,Out of Stock
Genomix Fighter,SHSP-EN039,4261,Ultra Rare,0.49,Out of Stock
Nurse Dragonmaid,LART-EN048,320,Ultra Rare,3.29,Out of Stock
Gouki Suprex,COTD-EN010,236,Rare,0.39,Out of Stock
Nazuki the Vaylantz Ninja,TAMA-EN003,1342,Rare,0.39,Out of Stock
Pendulum Evolution,AGOV-EN047,586,Common,0.29,Out of Stock
"Paces, Light of the Ghoti",POTE-EN086,1363,Ultra Rare,2.69,Out of Stock
Scareclaw Light-Heart,POTE-EN050,964,Ultra Rare,0.59,Out of Stock
"Imsety, Glory of Horus",AGOV-EN011,19,Quarter Century Secret Rare,54.09,Out of Stock
Trap Hole,YSYR-EN038,538,Common,0.39,Out of Stock
Mechquipped Angineer,NUMH-EN035,4674,Super Rare,1.09,Out of Stock
"Therion ""Empress"" Alasia",POTE-EN008,964,Super Rare,0.49,Out of Stock
Yellow-Bellied Oni,SHSP-EN033,4555,Common,0.29,Out of Stock
Play of the Tistina,AGOV-EN090,922,Common,0.29,Out of Stock
Trap Trick,TAMA-EN045,538,Rare,0.39,Out of Stock
Shield Crush,YSKR-EN038,1297,Common,0.29,Out of Stock
Trickstar Lycoris,COTD-EN007,2700,Super Rare,0.59,Out of Stock
Alpha Summon,AGOV-EN100,586,Common,0.29,Out of Stock
Malicevorous Spoon,SHSP-EN003,4261,Common,0.29,Out of Stock
Shrink,YSKR-EN037,502,Common,0.29,Out of Stock
Centur-Ion Primera,VASM-EN016,19,Ultra Rare,7.69,Out of Stock
Runick Fountain,TAMA-EN027,383,Ultra Rare,1.69,Out of Stock
Mirror Force,YSYR-EN040,538,Common,1.59,Out of Stock
Bujingi Ibis,SHSP-EN024,4261,Common,0.29,Out of Stock
Dark World Brainwashing,COTD-EN074,1244,Common,0.29,Out of Stock
Solar Wind Jammer,SDCR-EN013,4464,Common,0.29,Out of Stock
Armored Cybern,SDCR-EN011,3127,Common,0.29,Out of Stock
Colossal Fighter,VASM-EN054,538,Rare,0.39,Out of Stock
Buster Blader,YSYR-EN009,383,Common,0.49,Out of Stock
Crimson Knight Vampire Bram,SHSP-EN054,1454,Ultra Rare,0.49,Out of Stock
Sylvan Marshalleaf,LVAL-EN017,4261,Ultra Rare,4.49,Out of Stock
Cyber Repair Plant,SDCR-EN019,1657,Common,0.29,Out of Stock
Soul of the Supreme Celestial King,AGOV-EN069,922,Common,0.29,Out of Stock
Labrynth Set-Up,TAMA-EN022,964,Super Rare,0.49,Out of Stock
Gearfried the Red-Eyes Iron Knight,LEDU-EN002,756,Ultra Rare,4.29,Out of Stock
"Jain, Twilightsworn General",COTD-EN024,2798,Common,0.39,Out of Stock
Yellow Gadget,YSYR-EN021,586,Common,0.29,Out of Stock
Cyberdark Claw,LEDU-EN023,1503,Rare,2.99,Out of Stock
Destiny HERO - Dangerous,COTD-EN096,796,Common,0.29,Out of Stock
Queen's Knight,DPYG-EN003,502,Common,0.29,Out of Stock
Aratama,SHSP-EN035,1041,Rare,0.69,Out of Stock
Resurrection of Chakra,NUMH-EN053,4674,Super Rare,0.49,Out of Stock
Red Resonator,SDCK-EN007,950,Common,0.29,Out of Stock
Gorgonic Golem,LVAL-EN011,4261,Common,0.29,Out of Stock
Tearlaments Metanoise,POTE-EN071,1363,Common,0.29,Out of Stock
Chronomaly Moai Carrier,LVAL-EN008,4261,Common,0.29,Out of Stock
Malicevorous Spoon,SHSP-EN003,4261,Common,0.29,Out of Stock
Dark Magician Girl,YSYR-EN011,19,Common,0.69,Out of Stock
Scar of the Vendread,POTE-EN024,1363,Common,0.29,Out of Stock
Aussa the Earth Channeler,POTE-EN032,96,Ultra Rare,0.49,Out of Stock
Absolute Powerforce,SDCK-EN025,950,Common,0.29,Out of Stock
Tackle Crusader,LVAL-EN043,1839,Common,0.39,Out of Stock
Bujingi Fox,LVAL-EN029,4261,Rare,0.39,Out of Stock
Imperial Custom,VASM-EN058,68,Rare,0.39,Out of Stock
Amazoness Princess,LEDU-EN008,502,Super Rare,1.99,Out of Stock
Mystical Space Typhoon,YSKR-EN032,19,Common,0.29,Out of Stock
WANTED: Seeker of Sinful Spoils,AGOV-EN054,538,Quarter Century Secret Rare,114.99,Out of Stock
Interplanetarypurplythorny Beast,LVAL-EN098,4261,Common,0.29,Out of Stock
Gem-Knight Quartz,POTE-EN020,586,Super Rare,0.49,Out of Stock
Ghostrick Alucard,SHSP-EN052,3729,Ultra Rare,11.09,Out of Stock
Bonding - H2O,LEDU-EN051,1297,Common,0.29,Out of Stock
Melffy Pinny,POTE-EN023,586,Common,0.29,Out of Stock
Diabellstar the Black Witch,AGOV-EN006,237,Quarter Century Secret Rare,64.99,Out of Stock
Ghostrick Nekomusume,LVAL-EN023,4261,Common,0.39,Out of Stock
Traptrix Mantis,COTD-EN030,1160,Super Rare,0.49,Out of Stock
Vendread Scavenger,POTE-EN040,1363,Super Rare,0.49,Out of Stock
Orbital Hydralander,COTD-EN035,2798,Common,0.29,Out of Stock
Master Tao the Chanter,AGOV-EN025,145,Common,0.29,Out of Stock
"Garura, Wings of Resonant Life",POTE-EN082,705,Ultra Rare,3.29,Out of Stock
Overlay Capture,NUMH-EN056,4674,Super Rare,0.49,Out of Stock
Fairy Knight Ingunar,LVAL-EN055,4478,Super Rare,0.99,Out of Stock
Bujingi Centipede,SHSP-EN026,4261,Common,0.29,Out of Stock
Mobius the Mega Monarch,LVAL-EN040,3974,Ghost Rare,28.79,Out of Stock
Dark Resonator,SDCK-EN004,824,Common,0.29,Out of Stock
Berfomet the Mythical King of Phantom Beasts,AGOV-EN032,922,Super Rare,1.09,Out of Stock
Divine Dragon Knight Felgrand,SHSP-EN056,4261,Secret Rare,16.59,Out of Stock
Digit Jamming,POTE-EN068,586,Common,0.29,Out of Stock
Number 46: Dragluon,SHSP-EN050,4555,Super Rare,13.39,Out of Stock
Mystic Macrocarpa Seed,LVAL-EN035,4478,Common,0.29,Out of Stock
Lil-la Rap,AGOV-EN098,586,Common,0.29,Out of Stock
F.A. Sonic Meister,COTD-EN086,2798,Common,0.29,Out of Stock
World Legacy's Heart,COTD-EN058,2798,Common,0.29,Out of Stock
Wattkingdom,AGOV-EN062,922,Common,0.29,Out of Stock
"Tistina, the Divinity that Defies Darkness",AGOV-EN089,922,Quarter Century Secret Rare,9.39,Out of Stock
Draco-Utopian Aura,POTE-EN079,586,Secret Rare,1.49,Out of Stock
Wattaildragon,YSKR-EN012,4310,Common,0.39,Out of Stock
Missus Radiant,COTD-EN052,3190,Super Rare,0.69,Out of Stock
Angelica's Angelic Ring,AGOV-EN065,586,Common,0.29,Out of Stock
Trap Stun,SDCR-EN032,2819,Common,2.99,Out of Stock
Secret Sect Druid Dru,SHSP-EN009,4261,Common,0.28,Out of Stock
Numbers Overlay Boost,SHSP-EN071,4555,Common,0.29,Out of Stock
Double Coston,YSYR-EN016,978,Common,0.49,Out of Stock
D/D/D Gust High King Alexander,COTD-EN040,3190,Rare,0.69,Out of Stock
Zubaba General,JUMP-EN065,3729,Ultra Rare,1.99,Out of Stock
Elemental HERO Shining Neos Wingman,POTE-EN041,586,Ultra Rare,12.89,Out of Stock
Infernal Flame Banshee,AGOV-EN043,586,Quarter Century Secret Rare,25.99,Out of Stock
Downerd Magician,LVAL-EN057,908,Secret Rare,3.19,Out of Stock
Sylvan Bladefender,LVAL-EN000,4261,Super Rare,0.49,Out of Stock
Number 74: Master of Blades,NUMH-EN032,1993,Secret Rare,1.59,Out of Stock
Amazoness Village,LEDU-EN014,1125,Common,0.49,Out of Stock
WANTED: Seeker of Sinful Spoils,AGOV-EN054,538,Secret Rare,8.39,Out of Stock
Tiger Dragon,YSKR-EN024,2973,Common,0.39,Out of Stock
Angel of Zera,VASM-EN027,894,Rare,0.39,Out of Stock
Yomi Ship,LEDU-EN044,1148,Common,0.29,Out of Stock
Blue Duston,SHSP-EN045,4555,Common,0.29,Out of Stock
CXyz Coach Lord Ultimatrainer,NUMH-EN038,4674,Secret Rare,0.99,Out of Stock
Grisaille Prison,SHSP-EN078,3351,Rare,1.39,Out of Stock
Twilight Eraser,COTD-EN072,2798,Rare,0.39,Out of Stock
Zero Gravity,YSYR-EN045,1104,Common,0.29,Out of Stock
Number 85: Crazy Box,NUMH-EN033,4674,Super Rare,4.19,Out of Stock
Battle Ox,YSKR-EN004,789,Common,0.59,Out of Stock
Defense Zone,COTD-EN066,2798,Common,0.29,Out of Stock
Vaalmonica Followed Rhythm,VASM-EN039,894,Super Rare,0.49,Out of Stock
Fire Recovery,AGOV-EN059,586,Super Rare,0.49,Out of Stock
"Lilith, Lady of Lament",TAMA-EN049,1244,Rare,0.39,Out of Stock
Chronomaly Cabrera Trebuchet,NUMH-EN002,4674,Super Rare,0.49,Out of Stock
Ghostrick Mary,LVAL-EN022,1454,Super Rare,0.59,Out of Stock
Advance Draw,VASM-EN057,894,Rare,0.39,Out of Stock
"Shif, Fairy of the Ghoti",POTE-EN087,1363,Super Rare,0.59,Out of Stock
Lee the World Chalice Fairy,COTD-EN022,2798,Ultra Rare,0.49,Out of Stock
Overlay Booster,LVAL-EN006,271,Common,0.29,Out of Stock
Number C96: Dark Storm,SHSP-EN046,4555,Super Rare,0.59,Out of Stock
CXyz Skypalace Babylon,NUMH-EN046,4674,Secret Rare,0.99,Out of Stock
Sacred Serpent's Wake,SHSP-EN068,4555,Common,0.29,Out of Stock
Astrograph Sorcerer,TAMA-EN040,236,Rare,0.39,Out of Stock
Sergeant Electro,LEDU-EN046,3155,Common,0.29,Out of Stock
Assault Mode Activate,SDCK-EN039,77,Common,0.39,Out of Stock
Cyber Valley,SDCR-EN006,538,Common,0.29,Out of Stock
Battlin' Boxer Rib Gardna,SHSP-EN006,4261,Common,0.29,Out of Stock
The Monarchs Awaken,LVAL-EN077,3743,Common,0.29,Out of Stock
Magical Hats,DPYG-EN028,538,Rare,0.39,Out of Stock
Expressroid,LEDU-EN033,1297,Common,0.29,Out of Stock
Mementotlan Goblin,VASM-EN007,894,Rare,0.49,Out of Stock
Spellbinding Circle,DPYG-EN026,1104,Common,0.29,Out of Stock
Number 41: Bagooska the Terribly Tired Tapir,VASM-EN044,47,Rare,0.49,Out of Stock
Waboku,SDCR-EN035,502,Common,0.49,Out of Stock
Supreme King Dragon Lightwurm,AGOV-EN002,586,Common,0.29,Out of Stock
Xyz Avenger,LVAL-EN042,4478,Common,0.29,Out of Stock
Rising Energy,YSYR-EN046,1503,Common,0.29,Out of Stock
Granmarg the Mega Monarch,SHSP-EN041,4261,Secret Rare,1.89,Out of Stock
Vaylantz World - Shinra Bansho,TAMA-EN012,1342,Super Rare,0.49,Out of Stock
Cartorhyn the Hidden Gem of the Seafront,POTE-EN036,964,Common,0.29,Out of Stock
Gorgonic Cerberus,LVAL-EN014,4261,Common,0.29,Out of Stock
Sea Stealth Attack,LEDU-EN018,1412,Rare,0.49,Out of Stock
Magicians of Bonds and Unity,AGOV-EN000,733,Quarter Century Secret Rare,62.39,Out of Stock
Card Scanner,AGOV-EN066,586,Common,0.29,Out of Stock
The Tricky,YSYR-EN024,3491,Common,0.29,Out of Stock
Silent Doom,YSKR-EN039,789,Common,0.29,Out of Stock
Enemy Controller,YSKR-EN035,502,Common,0.79,Out of Stock
Deep-Space Cruiser IX,LVAL-EN010,4478,Common,0.29,Out of Stock
"Duamutef, Blessing of Horus",AGOV-EN012,96,Secret Rare,0.99,Out of Stock
Brilliant Rose,POTE-EN021,964,Common,0.29,Out of Stock
"Duralume, Vaalmonican Heathen Hallow",VASM-EN033,894,Super Rare,0.49,Out of Stock
Monster Reincarnation,LEDU-EN048,2630,Common,0.29,Out of Stock
Dododo Buster,LVAL-EN097,2294,Common,0.39,Out of Stock
Lady of the Lake,SHSP-EN084,4177,Secret Rare,5.29,Out of Stock
Gravity Lash,COTD-EN063,2798,Common,0.39,Out of Stock
Sinister Yorishiro,SHSP-EN089,2931,Ultra Rare,0.49,Out of Stock
Photon Chargeman,LVAL-EN007,4261,Common,0.29,Out of Stock
Starship Spy Plane,LVAL-EN099,4261,Common,0.29,Out of Stock
Sinister Yorishiro,SHSP-EN089,2931,Ultra Rare,0.49,Out of Stock
Dragard,SHSP-EN092,4555,Super Rare,0.59,Out of Stock
Number 15: Gimmick Puppet Giant Grinder,NUMH-EN027,586,Secret Rare,1.19,Out of Stock
Twilight Twin Dragons,COTD-EN060,3190,Common,0.29,Out of Stock
Horus the Black Flame Dragon LV6,YSKR-EN020,4527,Common,0.99,Out of Stock
Onomatopaira,LVAL-EN067,383,Rare,0.79,Out of Stock
Bujinunity,LVAL-EN065,4261,Rare,0.39,Out of Stock
Hack Worm,COTD-EN012,2798,Common,0.29,Out of Stock
Arias the Labrynth Butler,AGOV-EN017,19,Quarter Century Secret Rare,88.39,Out of Stock
Noble Arms - Excaliburn,SHSP-EN088,4177,Super Rare,3.89,Out of Stock
Noble Knight Borz,SHSP-EN085,1015,Super Rare,0.69,Out of Stock
T.G. Limiter Removal,AGOV-EN049,922,Quarter Century Secret Rare,11.79,Out of Stock
Ghostrick Alucard,SHSP-EN052,3729,Ultra Rare,8.29,Out of Stock
Amazoness Baby Tiger,LEDU-EN009,2126,Ultra Rare,3.69,Out of Stock
Des Feral Imp,YSKR-EN015,502,Common,0.39,Out of Stock
Numbers Overlay Boost,SHSP-EN071,4555,Common,0.29,Out of Stock
Seed-Spitting Saplings,AGOV-EN022,922,Super Rare,0.49,Out of Stock
World Chalice Guardragon,COTD-EN021,2448,Ultra Rare,0.49,Out of Stock
Secret Sect Druid Wid,SHSP-EN008,4261,Common,0.29,Out of Stock
Trickstar Holly Angel,COTD-EN044,2583,Ultra Rare,0.59,Out of Stock
Mecha Phantom Beast Kalgriffin,SHSP-EN028,4261,Rare,0.39,Out of Stock
Swords at Dawn,SHSP-EN066,4177,Rare,0.39,Out of Stock
P.U.N.K. JAM Dragon Drive,POTE-EN046,19,Super Rare,0.49,Out of Stock
Sorcerer of Dark Magic,DPYG-EN010,4957,Super Rare,10.09,Out of Stock
Wicked Acolyte Chilam Sabak,COTD-EN093,2798,Common,0.29,Out of Stock
Summoned Skull,YSYR-EN004,538,Common,0.69,Out of Stock
Mystical Space Typhoon,YSYR-EN028,19,Common,0.49,Out of Stock
Knight Day Grepher,SHSP-EN038,4177,Common,0.29,Out of Stock
Power Bond,SDCR-EN022,1657,Common,0.39,Out of Stock
The Immortal Bushi Mourns the Mortal Body,AGOV-EN067,586,Common,0.29,Out of Stock
Vampire Duke,SHSP-EN082,1454,Rare,0.39,Out of Stock
Gunkan Suship Shari Red,POTE-EN026,586,Common,0.29,Out of Stock
Bujingi Swallow,LVAL-EN028,4261,Common,0.29,Out of Stock
Mixeroid,LEDU-EN029,1297,Rare,0.39,Out of Stock
Pot of Extravagance,SDCK-EN031,47,Common,0.59,Out of Stock
Black Luster Ritual,DPYG-EN022,2175,Common,0.29,Out of Stock
Spright Starter,POTE-EN055,19,Ultra Rare,2.09,Out of Stock
Mythic Tree Dragon,SHSP-EN010,4261,Common,0.29,Out of Stock
Red-Eyes Fusion,LEDU-EN006,1608,Common,1.09,Out of Stock
Vernusylph Corolla,POTE-EN061,1363,Super Rare,0.49,Out of Stock
Book of Eclipse,TAMA-EN041,705,Rare,0.39,Out of Stock
Vehicroid Connection Zone,LEDU-EN035,1297,Common,0.29,Out of Stock
Battlin' Boxer Cheat Commissioner,SHSP-EN049,992,Rare,0.39,Out of Stock
T.G. Over Dragonar,AGOV-EN035,922,Ultra Rare,0.49,Out of Stock
Oh Tokenbaum!,SHSP-EN098,2736,Rare,0.39,Out of Stock
Ghostrick Mary,LVAL-EN022,1454,Super Rare,0.59,Out of Stock
Bujin Arasuda,LVAL-EN026,4261,Ultra Rare,2.39,Out of Stock
Bonding - D2O,LEDU-EN038,1297,Rare,0.39,Out of Stock
Vaylantz Voltage Viscount,TAMA-EN006,1342,Rare,0.39,Out of Stock
Stand-Off,LVAL-EN069,4478,Common,0.29,Out of Stock
Sylvan Hermitree,LVAL-EN020,4261,Ultra Rare,7.39,Out of Stock
There Can Be Only One,VASM-EN015,894,Rare,0.39,Out of Stock
Vaylantz Wars - The Place of Beginning,TAMA-EN011,1342,Ultra Rare,0.59,Out of Stock
Vice Dragon,SDCK-EN009,950,Common,0.29,Out of Stock
Escapegoat,AGOV-EN080,586,Common,0.29,Out of Stock
Synchro Rumble,AGOV-EN060,173,Super Rare,1.29,Out of Stock
Bone Archfiend,SDCK-EN003,950,Common,4.29,Out of Stock
"Valhalla, Hall of the Fallen",VASM-EN056,761,Rare,0.39,Out of Stock
Black Pendant,YSYR-EN027,1104,Common,0.29,Out of Stock
Number 64: Ronin Raccoon Sandayu,SHSP-EN051,4261,Rare,2.79,Out of Stock
Call of the Haunted,VASM-EN059,19,Rare,0.39,Out of Stock
Mementotlan Angwitch,VASM-EN005,383,Ultra Rare,0.99,Out of Stock
Chain Ignition,SHSP-EN077,4555,Common,0.39,Out of Stock
Xyz Armor Torpedo,AGOV-EN039,922,Super Rare,0.79,Out of Stock
Water Dragon,LEDU-EN042,1297,Common,0.49,Out of Stock
Archlord Kristya,VASM-EN048,894,Quarter Century Secret Rare,103.69,Out of Stock
"Qebehsenuef, Protection of Horus",AGOV-EN014,96,Super Rare,0.49,Out of Stock
Motivating Captain,COTD-EN031,2798,Rare,0.39,Out of Stock
Cyberdarkness Dragon,LEDU-EN024,1657,Super Rare,3.39,Out of Stock
"Release, Reverse, Burst",LVAL-EN071,4478,Common,0.29,Out of Stock
Gravity Collapse,VASM-EN030,894,Rare,0.69,Out of Stock
T.G. Close,AGOV-EN070,922,Common,0.29,Out of Stock
Mementotlan Dark Blade,VASM-EN004,236,Super Rare,0.89,Out of Stock
Shard of Greed,YSYR-EN037,1511,Common,0.79,Out of Stock
Oxygeddon,LEDU-EN041,1297,Common,0.29,Out of Stock
Psi-Reflector,SDCK-EN019,19,Common,0.49,Out of Stock
Soul Drain Dragon,SHSP-EN013,4555,Common,0.29,Out of Stock
Ibicella Lutea,VASM-EN052,894,Rare,0.39,Out of Stock
"Eanoc, Sentry of the Ghoti",POTE-EN088,1363,Common,0.29,Out of Stock
Power Tool Braver Dragon,POTE-EN097,1363,Super Rare,0.49,Out of Stock
Hot Red Dragon Archfiend Bane,SDCK-EN043,950,Common,0.29,Out of Stock
Vivid Knight,SHSP-EN099,4555,Rare,0.39,Out of Stock
Visas Samsara,AGOV-EN004,586,Quarter Century Secret Rare,17.39,Out of Stock
"Imsety, Glory of Horus",AGOV-EN011,19,Secret Rare,8.29,Out of Stock
Dark Hole,YSKR-EN028,236,Common,0.49,Out of Stock
Krawler Soma,POTE-EN029,1363,Common,0.29,Out of Stock
Firewall Dragon,COTD-EN043,964,Secret Rare,4.19,Out of Stock
Lady of the Lake,SHSP-EN084,4177,Secret Rare,3.79,Out of Stock
Labrynth Cooclock,TAMA-EN020,916,Rare,0.39,Out of Stock
Marshmallon,DPYG-EN015,2847,Rare,0.39,Out of Stock
